Este,Norte,Cota,recpe_og,recpe_val,distancia_m
9050.4,23694.5,2020.8,26.3,23.85415459,6.41
9062.9,23693.7,1998.6,42.74,39.43835831,5.84
9068.1,23693.3,1989.5,26.56,23.44762993,5.59
8697.8,23902.3,2131.3,32.22,28.1198864,8.56
8715.8,23902.6,2094.2,29.14,23.27000046,5.25
8724.9,23902.8,2075.3,22.61,21.13073158,5.19
8768.5,23904.2,1983.9,40.06,33.3405304,6.01
8787.4,23905.0,1943.9,24.84,23.14711952,3.74
8617.4,23996.6,2166.2,41.04,32.22000122,30.1
8660.9,23994.0,2085.7,17.73,23.27000046,8.68
8709.9,23990.5,1989.6,54.25,45.134758,8.8
8980.0,24228.8,2254.9,21.76,17.38507843,8.45
8994.0,24228.8,2219.2,17.5,17.23594093,9.25
9001.8,24228.8,2199.0,16.76,16.85778618,7.22
9017.2,24228.7,2159.1,24.38,23.48588181,9.32
9044.7,24228.3,2086.9,22.14,24.50115395,11.05
9051.9,24228.1,2068.0,27.05,23.69971085,8.44
9095.2,24227.7,1952.0,25.36,22.48586464,7.57
8577.3,23756.2,2054.7,22.2,22.20000076,7.67
8829.7,24298.7,2063.1,26.22,25.24554443,4.89
8831.8,24298.6,2057.5,31.06,25.40958977,6.04
8843.1,24298.1,2028.1,28.63,25.97399139,4.83
8861.8,24297.1,1979.0,22.94,23.01029205,7.26
8878.9,24296.2,1934.2,27.1,25.47858429,7.86
8933.1,24293.7,1787.9,29.7,26.41509056,6.26
8952.0,24292.5,1735.7,32.33,27.01181221,33.28
9014.9,24288.4,1557.6,28.18,28.6336937,7.8
9025.1,24287.4,1527.8,28.15,29.21648216,7.22
9032.9,24286.8,1505.1,32.53,27.81679344,5.35
9034.7,24286.7,1499.9,23.07,27.64554787,8.51
9125.0,24101.0,2190.0,28.08,17.11397743,7.65
9129.7,24101.1,2182.3,15.96,17.11397743,4.91
9134.3,24101.3,2174.6,29.26,28.26000023,7.23
9139.0,24101.5,2166.9,22.54,28.26000023,4.17
9149.0,24101.9,2150.1,22.69,21.60158348,4.7
9162.8,24102.5,2126.9,18.9,20.22358704,4.92
8603.4,24256.7,1901.5,35.9,35.90000153,6.02
8610.8,24256.9,1885.1,30.74,30.73999977,6.62
8859.3,24003.3,2193.0,48.49,41.82702255,8.51
8862.3,24003.4,2187.8,60.87,41.54209518,8.38
8935.5,24005.4,2057.7,42.08,37.34954071,8.58
8604.1,23997.4,2190.5,30.59,32.22000122,43.13
9191.191,24099.732,2119.144,30.19,24.63570404,5.78
8909.158,24374.246,2185.868,33.92,31.23677444,5.63
9259.781,24442.823,2092.54,25.62,23.31415558,6.69
9266.329,24442.385,2076.587,22.05,22.14183617,5.36
9269.506,24442.184,2068.977,17.5,19.12467575,9.51
8888.311,24424.422,2225.942,14.46,15.21768761,7.83
8998.729,24423.706,2231.681,22.4,23.41561127,8.36
8940.85,24472.211,2195.929,18.25,21.58569717,6.9
8942.918,24472.097,2187.17,24.37,23.83288574,7.44
9327.138,24445.367,2096.878,21.13,20.36983871,5.32
8921.769,24518.519,2177.349,30.25,29.33347321,7.27
9260.028,24469.315,2058.861,22.31,20.71004677,9.19
9232.205,24519.015,2137.733,25.39,24.59882164,4.47
8885.859,24374.982,2240.34,15.6,15.88658047,3.4
9018.254,24547.623,2227.698,20.64,23.78119659,5.87
9022.215,24547.183,2216.38,34.66,28.08277321,7.15
9115.421,24568.738,2264.271,18.07,27.39815903,6.9
9118.557,24568.462,2255.043,33.4,27.39815903,4.43
9132.093,24929.613,2223.49,17.76,18.26768112,5.38
9138.451,24929.317,2201.909,23.48,20.05463219,5.89
9209.45,24749.091,2221.501,26.81,20.18986511,7.64
8989.822,24723.216,2248.831,20.45,22.03733063,9.8
9062.737,24751.228,2079.003,27.37,27.37000084,4.61
9235.127,24990.158,2219.509,18.17,20.11516762,7.5
9230.26,24990.142,2211.061,20.05,20.11516762,5.61
9225.065,24990.077,2201.936,30.04,30.31987381,5.13
9216.594,24989.992,2186.91,36.75,26.97541809,5.31
9210.758,24989.933,2176.424,16.63,26.97541809,7.8
9200.992,24989.705,2158.687,13.04,16.29730797,7.69
