Este_val,Norte_val,Cota_val,recpe_og,recpe_val,KNN,RandomForest,GradientBoosting,XGBoost
9075.0,24597.5,1462.5,14.6,14.60000038,15.56098009853514,15.099885006085394,14.8,14.882815
8895.0,25707.5,1522.5,13.8,13.89790535,14.29822056679959,15.395763803151137,15.904617431971149,15.182081
9135.0,24747.5,1762.5,15.4,15.44231319,15.329754470029547,14.924641660600393,14.504266539995847,14.33238
9015.0,26592.5,1792.5,14.5,14.51171589,14.689417855294762,15.689813181749622,15.537584758378147,15.896041
9105.0,24387.5,1357.5,15.3,15.28241253,15.64096188979728,15.977786644591815,14.776353907931178,15.181538
9045.0,25167.5,1822.5,22.2,22.20000267,19.719853354012976,16.15456649728541,16.58658738695094,16.8
9085.0,25587.5,2272.5,9.34,12.03394985,12.664035056982717,16.90245612908914,20.260642487840297,18.074177
9035.0,25992.5,2272.5,16.47,16.88793945,15.604568999554578,16.39888394754381,19.05188340573827,18.041195
9045.0,25497.5,2287.5,13.3,13.84248066,14.053737041905627,17.84098887809722,14.592429439694055,18.02006
9095.0,26007.5,2302.5,26.72,22.70690536,19.290237469555986,14.611596561963264,18.5,14.416681
9025.0,25992.5,2257.5,13.83,18.54434395,15.946179809291756,15.926666975187176,14.331180690068702,15.599944
9075.0,25992.5,2212.5,14.44,15.4901123,14.691748938691351,15.022814705149633,15.682499990030172,15.89637
