block_id,xcentre,ycentre,zcentre,xlength,ylength,zlength,recpe,ue
1979159,8625.0,25842.5,1117.5,10.0,15.0,15.0,12.0,2
1979160,8645.0,25857.5,1132.5,10.0,15.0,15.0,12.0,2
1979161,8645.0,25842.5,1132.5,10.0,15.0,15.0,12.0,2
1979162,8645.0,25842.5,1117.5,10.0,15.0,15.0,12.0,2
1979163,8655.0,25857.5,1117.5,10.0,15.0,15.0,12.0,2
1979164,8655.0,25842.5,1117.5,10.0,15.0,15.0,12.0,2
1979165,8655.0,25842.5,1132.5,10.0,15.0,15.0,12.0,2
1979166,8655.0,25857.5,1132.5,10.0,15.0,15.0,12.00000095,2
1979167,8645.0,25857.5,1117.5,10.0,15.0,15.0,12.0,2
1979168,8665.0,25842.5,1132.5,10.0,15.0,15.0,12.0,2
1979169,8665.0,25842.5,1117.5,10.0,15.0,15.0,12.0,2
1979170,8675.0,25857.5,1117.5,10.0,15.0,15.0,12.0,2
1979171,8675.0,25842.5,1132.5,10.0,15.0,15.0,12.0,2
1979172,8675.0,25857.5,1132.5,10.0,15.0,15.0,12.00000095,2
1979173,8665.0,25857.5,1117.5,10.0,15.0,15.0,12.0,2
1979174,8665.0,25857.5,1132.5,10.0,15.0,15.0,12.0,2
1979175,8675.0,25842.5,1117.5,10.0,15.0,15.0,12.0,2
1979177,8695.0,25842.5,1132.5,10.0,15.0,15.0,12.0,2
1979178,8685.0,25857.5,1117.5,10.0,15.0,15.0,12.0,2
1979180,8685.0,25842.5,1132.5,10.0,15.0,15.0,12.0,2
1979181,8685.0,25842.5,1117.5,10.0,15.0,15.0,12.0,2
1979182,8685.0,25857.5,1132.5,10.0,15.0,15.0,12.0,2
1979183,8695.0,25857.5,1132.5,10.0,15.0,15.0,12.0,2
1979188,8715.0,25842.5,1132.5,10.0,15.0,15.0,11.99999905,2
1979189,8705.0,25857.5,1132.5,10.0,15.0,15.0,12.0,2
1979191,8705.0,25842.5,1132.5,10.0,15.0,15.0,12.0,2
1980344,8595.0,25872.5,1132.5,10.0,15.0,15.0,12.0,2
1980345,8595.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980352,8605.0,25872.5,1132.5,10.0,15.0,15.0,12.0,2
1980353,8615.0,25872.5,1117.5,10.0,15.0,15.0,12.0,2
1980354,8615.0,25872.5,1132.5,10.0,15.0,15.0,12.0,2
1980355,8615.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980358,8605.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980360,8635.0,25872.5,1117.5,10.0,15.0,15.0,12.0,2
1980361,8635.0,25887.5,1117.5,10.0,15.0,15.0,12.0,2
1980362,8625.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980363,8625.0,25887.5,1117.5,10.0,15.0,15.0,12.0,2
1980364,8625.0,25872.5,1132.5,10.0,15.0,15.0,12.0,2
1980365,8635.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980366,8625.0,25872.5,1117.5,10.0,15.0,15.0,12.0,2
1980367,8635.0,25872.5,1132.5,10.0,15.0,15.0,12.0,2
